Company,domain,full_url,LinkedIn,Category,confidence_flag
A2Z Drone Delivery,a2zdronedelivery.com,https://a2zdronedelivery.com,https://www.linkedin.com/company/a2z-drone-delivery,Logistics (Delivery / BVLOS Ops),high
A2Z Drone Delivery Systems,https://a2zdronedelivery.com,https://www.linkedin.com/company/a2z-drone-delivery,,,
ABJ Drones,https://abjdrones.com,https://www.linkedin.com/company/abj-drones,https://www.linkedin.com/company/abj-drones,,high
ABOT,abot.ai,https://abot.ai,https://www.linkedin.com/company/abot,Inspection (Energy / Infrastructure),high
Above Surveying,https://abovesurveying.com,https://www.linkedin.com/company/above-surveying,https://www.linkedin.com/company/above-surveying,,medium
Acecore Systems,https://acecoretechnologies.com,https://www.linkedin.com/company/acecore-technologies,,,
Acecore Technologies,acecoretechnologies.com,https://acecoretechnologies.com,https://www.linkedin.com/company/acecore-technologies,Hardware,high
Advexure,advexure.com,https://advexure.com,https://www.linkedin.com/company/advexure,Training & Services,high
AEE Aviation Technology,https://www.aee.com,https://www.linkedin.com/company/aee-technology,,,
AEE Technology,aee.com,https://www.aee.com,https://www.linkedin.com/company/aee-technology,Hardware,high
Aerial Applications,aerialapplications.com,https://aerialapplications.com,https://www.linkedin.com/company/aerial-applications,Inspection (Energy / Infrastructure),high
Aerial Armor,https://aerialarmor.com,https://www.linkedin.com/company/aerial-armor,https://www.linkedin.com/company/aerial-armor,,medium
Aerial Filmworks,aerialfilmworks.com,https://aerialfilmworks.com,https://www.linkedin.com/company/aerial-filmworks,Training & Services,high
Aerial Influence,https://aerialinfluence.com,https://www.linkedin.com/company/aerial-influence,https://www.linkedin.com/company/aerial-influence,,medium
Aerial Mob,aerialmob.com,https://aerialmob.com,https://www.linkedin.com/company/aerialmob,Inspection (Energy / Infrastructure),high
Aerial Productions,https://aerialproductions.com,https://www.linkedin.com/company/aerial-productions,https://www.linkedin.com/company/aerial-productions,,medium
Aerial Productions International,apifilms.com,https://apifilms.com,https://www.linkedin.com/company/api-films,Training & Services,high
Aerial Services Inc,aerialservicesinc.com,https://aerialservicesinc.com,https://www.linkedin.com/company/aerial-services-inc,Inspection (Energy / Infrastructure),high
Aerial Sphere,https://aerialsphere.com,https://www.linkedin.com/company/aerial-sphere,https://www.linkedin.com/company/aerial-sphere,,medium
Aerial Vision International,aerialvisionint.com,https://aerialvisionint.com,https://www.linkedin.com/company/aerial-vision-international,Inspection (Energy / Infrastructure),high
Aerial Vision Systems,https://aerialvisionsystems.com,https://www.linkedin.com/company/aerial-vision-systems,https://www.linkedin.com/company/aerial-vision-systems,,medium
Aerialtronics,aerialtronics.com,https://aerialtronics.com,https://www.linkedin.com/company/aerialtronics,Hardware,high
AerialWorks,aerialworks.co,https://aerialworks.co,https://www.linkedin.com/company/aerialworks,Inspection (Energy / Infrastructure),high
Aernnova Aerospace,aernnova.com,https://aernnova.com,https://www.linkedin.com/company/aernnova,Hardware,high
Aero Imaging Services,https://aeroimagingservices.com,https://www.linkedin.com/company/aero-imaging-services,https://www.linkedin.com/company/aero-imaging-services,,low
AeroAI,aeroai.com,https://aeroai.com,https://www.linkedin.com/company/aeroai,Software & Autonomy,high
Aerobotics,https://aerobotics.com,https://www.linkedin.com/company/aerobotics,https://www.linkedin.com/company/aerobotics,,low
Aerodyne Group,aerodyne.group,https://aerodyne.group,https://www.linkedin.com/company/aerodyne-group,Inspection (Energy / Infrastructure),high
Aerodyne Measure,https://aerodyne.group,https://www.linkedin.com/company/aerodyne-group,,,
