"company_key","company_name","domain","ingestion_status","promotion_source","promoted_at","source_kind","ats_provider","ats_board_slug","careers_url_canonical","extractor_profile","manual_override_lock","notes_internal"
"legacy__ashby__abridge","Abridge","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","abridge","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__aerovect","Aerovect","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","aerovect","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__aetherflux","Aetherflux","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","aetherflux","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__aim","Aim","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","aim","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__airbound","Airbound","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","airbound","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__airops","Airops","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","airops","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__alta-ares","Alta Ares","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","alta-ares","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__altura","Altura","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","altura","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__Antares","Antares","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","Antares","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__arxlight-ai","Arxlight Ai","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","arxlight-ai","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__atlan","Atlan","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","atlan","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__aureliussystems","Aureliussystems","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","aureliussystems","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__backflip.ai","Backflip.Ai","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","backflip.ai","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__bedrock-robotics","Bedrock Robotics","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","bedrock-robotics","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__Blacksmith","Blacksmith","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","Blacksmith","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__bliro","Bliro","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","bliro","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__breaker","Breaker","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","breaker","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__brinc","Brinc","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","brinc","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__built-robotics","Built Robotics","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","built-robotics","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__callosum","Callosum","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","callosum","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__campfire","Campfire","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","campfire","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__character","Character","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","character","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__charge-robotics","Charge Robotics","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","charge-robotics","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__clasp-group","Clasp Group","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","clasp-group","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__close","Close","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","close","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__cobot","Cobot","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","cobot","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__cocodelivery","Cocodelivery","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","cocodelivery","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__coderabbit","Coderabbit","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","coderabbit","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__compound-eye","Compound Eye","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","compound-eye","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__continua","Continua","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","continua","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__corvus-robotics","Corvus Robotics","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","corvus-robotics","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__cosmic-robotics","Cosmic Robotics","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","cosmic-robotics","","","false","Migrated from repo-root sources.csv (Phase A)."
"legacy__ashby__critical-energy","Critical Energy","","promoted","legacy_sources_csv","2026-04-11T13:31:31.450Z","ats_api","ashby","critical-energy","","","false","Migrated from repo-root sources.csv (Phase A)."
