"company_key","sources_status","last_checked_at","last_successful_fetch_at","last_fetch_error","consecutive_failures","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run"
"legacy__ashby__abridge","auto","2026-04-10T14:59:08.636Z","2026-04-10T14:59:08.636Z","","","58","0","0","0","37","0","21","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__aerovect","auto","2026-04-10T14:59:09.974Z","2026-04-10T14:59:09.974Z","","","19","3","0","3","11","0","5","false","0.158","0","0","medium","1","productive"
"legacy__ashby__aetherflux","auto","2026-04-10T14:59:11.389Z","2026-04-10T14:59:11.389Z","","","26","0","0","0","19","0","7","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__aim","auto","2026-04-10T14:59:12.164Z","2026-04-10T14:59:12.164Z","","","17","0","0","0","17","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__airbound","auto","2026-04-10T14:59:12.861Z","2026-04-10T14:59:12.861Z","","","2","2","0","2","0","0","0","false","1.000","0","0","high","1","productive"
"legacy__ashby__airops","auto","2026-04-10T14:59:14.421Z","2026-04-10T14:59:14.421Z","","","28","0","0","0","14","0","14","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__alta-ares","auto","2026-04-10T14:59:17.545Z","","Ashby Alta Ares failed: 404","","0","0","0","0","0","0","0","true","0.000","0","2","low","2","fetch_failed"
"legacy__ashby__altura","auto","2026-04-10T14:59:18.019Z","2026-04-10T14:59:18.019Z","","","2","0","0","0","2","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__Antares","auto","2026-04-10T14:59:19.220Z","2026-04-10T14:59:19.220Z","","","24","0","0","0","10","0","14","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__arxlight-ai","auto","2026-04-10T14:59:20.744Z","2026-04-10T14:59:20.744Z","","","8","3","0","3","5","0","0","false","0.375","0","0","medium","1","productive"
