"ats","slug","company_name","status","last_checked_at","last_successful_fetch_at","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run","last_error","provider","company"
"ashby","abridge","Abridge","auto","2026-04-10T14:59:08.636Z","2026-04-10T14:59:08.636Z","58","0","0","0","37","0","21","false","0.000","0","0","low","2","irrelevant_only","","ashby","Abridge"
"ashby","aerovect","Aerovect","auto","2026-04-10T14:59:09.974Z","2026-04-10T14:59:09.974Z","19","3","0","3","11","0","5","false","0.158","0","0","medium","1","productive","","ashby","Aerovect"
"ashby","aetherflux","Aetherflux","auto","2026-04-10T14:59:11.389Z","2026-04-10T14:59:11.389Z","26","0","0","0","19","0","7","false","0.000","0","0","low","2","irrelevant_only","","ashby","Aetherflux"
"ashby","aim","Aim","auto","2026-04-10T14:59:12.164Z","2026-04-10T14:59:12.164Z","17","0","0","0","17","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Aim"
"ashby","airbound","Airbound","auto","2026-04-10T14:59:12.861Z","2026-04-10T14:59:12.861Z","2","2","0","2","0","0","0","false","1.000","0","0","high","1","productive","","ashby","Airbound"
"ashby","airops","Airops","auto","2026-04-10T14:59:14.421Z","2026-04-10T14:59:14.421Z","28","0","0","0","14","0","14","false","0.000","0","0","low","2","irrelevant_only","","ashby","Airops"
"ashby","alta-ares","Alta Ares","auto","2026-04-10T14:59:17.545Z","","0","0","0","0","0","0","0","true","0.000","0","2","low","2","fetch_failed","Ashby Alta Ares failed: 404","ashby","Alta Ares"
"ashby","altura","Altura","auto","2026-04-10T14:59:18.019Z","2026-04-10T14:59:18.019Z","2","0","0","0","2","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Altura"
"ashby","Antares","Antares","auto","2026-04-10T14:59:19.220Z","2026-04-10T14:59:19.220Z","24","0","0","0","10","0","14","false","0.000","0","0","low","2","irrelevant_only","","ashby","Antares"
"ashby","arxlight-ai","Arxlight Ai","auto","2026-04-10T14:59:20.744Z","2026-04-10T14:59:20.744Z","8","3","0","3","5","0","0","false","0.375","0","0","medium","1","productive","","ashby","Arxlight Ai"
"ashby","atlan","Atlan","auto","2026-04-10T14:59:21.319Z","2026-04-10T14:59:21.319Z","15","0","0","0","9","0","6","false","0.000","0","0","low","2","irrelevant_only","","ashby","Atlan"
"ashby","aureliussystems","Aureliussystems","auto","2026-04-10T14:59:23.365Z","2026-04-10T14:59:23.365Z","7","7","0","7","0","0","0","false","1.000","0","0","high","1","productive","","ashby","Aureliussystems"
"ashby","backflip.ai","Backflip.Ai","auto","2026-04-10T14:59:24.188Z","2026-04-10T14:59:24.188Z","0","0","0","0","0","0","0","false","0.000","1","0","low","2","empty","","ashby","Backflip.Ai"
"ashby","bedrock-robotics","Bedrock Robotics","auto","2026-04-10T14:59:25.515Z","2026-04-10T14:59:25.515Z","23","0","0","0","21","0","2","false","0.000","0","0","low","2","irrelevant_only","","ashby","Bedrock Robotics"
"ashby","Blacksmith","Blacksmith","auto","2026-04-10T14:59:26.071Z","2026-04-10T14:59:26.071Z","12","0","0","0","4","0","8","false","0.000","0","0","low","2","irrelevant_only","","ashby","Blacksmith"
"ashby","bliro","Bliro","auto","2026-04-10T14:59:26.616Z","2026-04-10T14:59:26.616Z","8","0","0","0","6","0","2","false","0.000","0","0","low","2","irrelevant_only","","ashby","Bliro"
"ashby","breaker","Breaker","auto","2026-04-10T14:59:27.426Z","2026-04-10T14:59:27.426Z","3","3","0","3","0","0","0","false","1.000","0","0","high","1","productive","","ashby","Breaker"
"ashby","brinc","Brinc","auto","2026-04-10T14:59:30.193Z","2026-04-10T14:59:30.193Z","22","9","0","9","1","0","12","false","0.409","0","0","high","1","productive","","ashby","Brinc"
"ashby","built-robotics","Built Robotics","auto","2026-04-10T14:59:30.552Z","2026-04-10T14:59:30.552Z","2","0","0","0","0","0","2","false","0.000","0","0","low","2","old_only","","ashby","Built Robotics"
"ashby","callosum","Callosum","auto","2026-04-10T14:59:30.867Z","2026-04-10T14:59:30.867Z","1","0","0","0","1","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Callosum"
"ashby","campfire","Campfire","auto","2026-04-10T14:59:31.883Z","2026-04-10T14:59:31.883Z","23","0","0","0","9","0","14","false","0.000","0","0","low","2","irrelevant_only","","ashby","Campfire"
"ashby","character","Character","auto","2026-04-10T14:59:32.057Z","2026-04-10T14:59:32.057Z","17","0","0","0","5","0","12","false","0.000","0","0","low","2","irrelevant_only","","ashby","Character"
"ashby","charge-robotics","Charge Robotics","auto","2026-04-10T14:59:32.772Z","2026-04-10T14:59:32.772Z","14","0","0","0","7","0","7","false","0.000","0","0","low","2","irrelevant_only","","ashby","Charge Robotics"
"ashby","clasp-group","Clasp Group","auto","2026-04-10T14:59:32.971Z","2026-04-10T14:59:32.971Z","15","0","0","0","15","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Clasp Group"
"ashby","close","Close","auto","2026-04-10T14:59:33.528Z","2026-04-10T14:59:33.528Z","9","0","0","0","8","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","Close"
"ashby","cobot","Cobot","auto","2026-04-10T14:59:34.493Z","2026-04-10T14:59:34.493Z","15","0","0","0","13","0","2","false","0.000","0","0","low","2","irrelevant_only","","ashby","Cobot"
"ashby","cocodelivery","Cocodelivery","auto","2026-04-10T14:59:35.348Z","2026-04-10T14:59:35.348Z","14","0","0","0","11","0","3","false","0.000","0","0","low","2","irrelevant_only","","ashby","Cocodelivery"
"ashby","coderabbit","Coderabbit","auto","2026-04-10T14:59:36.783Z","2026-04-10T14:59:36.783Z","30","0","0","0","21","0","9","false","0.000","0","0","low","2","irrelevant_only","","ashby","Coderabbit"
"ashby","compound-eye","Compound Eye","auto","2026-04-10T14:59:37.345Z","2026-04-10T14:59:37.345Z","3","1","0","1","2","0","0","false","0.333","0","0","medium","1","productive","","ashby","Compound Eye"
"ashby","continua","Continua","auto","2026-04-10T14:59:37.829Z","2026-04-10T14:59:37.829Z","2","0","0","0","0","0","2","false","0.000","0","0","low","2","old_only","","ashby","Continua"
"ashby","corvus-robotics","Corvus Robotics","auto","2026-04-10T14:59:38.235Z","2026-04-10T14:59:38.235Z","6","0","0","0","0","0","6","false","0.000","0","0","low","2","old_only","","ashby","Corvus Robotics"
