"company_key","company_name","domain","homepage_url","linkedin_url","category","confidence_flag","homepage_input_validation","homepage_validation_note","careers_url_candidate","careers_url_final","redirected_to","resolver_status","source_type_guess","notes","last_checked_at","final_source_type","extractor_type","extractor_priority","ready_for_extraction","routing_notes"
"cm-0001","A2Z Drone Delivery","a2zdronedelivery.com","https://a2zdronedelivery.com/","https://www.linkedin.com/company/a2z-drone-delivery","Logistics (Delivery / BVLOS Ops)","high","ok",,"https://a2zdronedelivery.com/careers","https://www.a2zdronedelivery.com/careers","https://www.a2zdronedelivery.com/careers","careers_found","custom_found","{""homepageUsed"":""https://a2zdronedelivery.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://a2zdronedelivery.com/careers"",""status"":200,""finalUrl"":""https://www.a2zdronedelivery.com/careers"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://www.a2zdronedelivery.com/careers"",""classification"":""custom_found""}","2026-04-10T23:43:42.586Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"cm-0002","A2Z Drone Delivery Systems","a2zdronedelivery.com","https://a2zdronedelivery.com/",,,,"rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://a2zdronedelivery.com/ from domain column.","https://a2zdronedelivery.com/careers","https://www.a2zdronedelivery.com/careers","https://www.a2zdronedelivery.com/careers","careers_found","custom_found","{""homepageUsed"":""https://a2zdronedelivery.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://a2zdronedelivery.com/careers"",""status"":200,""finalUrl"":""https://www.a2zdronedelivery.com/careers"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://www.a2zdronedelivery.com/careers"",""classification"":""custom_found""}","2026-04-10T23:43:43.630Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"cm-0003","ABJ Drones","abjdrones.com","https://abjdrones.com/","https://www.linkedin.com/company/abj-drones",,"high","rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://abjdrones.com/ from domain column.","https://abjdrones.com/jobs","https://abjdrones.com/drone-jobs-career/","https://abjdrones.com/drone-jobs-career/","careers_found","custom_found","{""homepageUsed"":""https://abjdrones.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://abjdrones.com/careers"",""status"":404,""finalUrl"":""https://abjdrones.com/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://abjdrones.com/jobs"",""status"":200,""finalUrl"":""https://abjdrones.com/drone-jobs-career/"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://abjdrones.com/drone-jobs-career/"",""classification"":""custom_found""}","2026-04-10T23:43:44.449Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"cm-0004","ABOT","abot.ai","https://abot.ai/","https://www.linkedin.com/company/abot","Inspection (Energy / Infrastructure)","high","ok",,,,,"homepage_fetch_failed","fetch_failed","{""homepageUsed"":""https://abot.ai/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://abot.ai/careers"",""status"":0,""finalUrl"":""https://abot.ai/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://abot.ai/jobs"",""status"":0,""finalUrl"":""https://abot.ai/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/careers/jobs"",""candidateUrl"":""https://abot.ai/careers/jobs"",""status"":0,""finalUrl"":""https://abot.ai/careers/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/join-us"",""candidateUrl"":""https://abot.ai/join-us"",""status"":0,""finalUrl"":""https://abot.ai/join-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/work-with-us"",""candidateUrl"":""https://abot.ai/work-with-us"",""status"":0,""finalUrl"":""https://abot.ai/work-with-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/company/careers"",""candidateUrl"":""https://abot.ai/company/careers"",""status"":0,""finalUrl"":""https://abot.ai/company/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/about/careers"",""candidateUrl"":""https://abot.ai/about/careers"",""status"":0,""finalUrl"":""https://abot.ai/about/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/opportunities"",""candidateUrl"":""https://abot.ai/opportunities"",""status"":0,""finalUrl"":""https://abot.ai/opportunities"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/hiring"",""candidateUrl"":""https://abot.ai/hiring"",""status"":0,""finalUrl"":""https://abot.ai/hiring"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://abot.ai/"",""classification"":""fetch_failed"",""homepageError"":""fetch failed""}","2026-04-10T23:43:50.558Z","unavailable","none","none","false","gated: resolver_status=homepage_fetch_failed"
"cm-0005","Above Surveying","abovesurveying.com","https://abovesurveying.com/","https://www.linkedin.com/company/above-surveying",,"medium","rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://abovesurveying.com/ from domain column.","https://abovesurveying.com/careers","https://www.abovesurveying.com/careers","https://www.abovesurveying.com/careers","careers_found","custom_found","{""homepageUsed"":""https://abovesurveying.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://abovesurveying.com/careers"",""status"":200,""finalUrl"":""https://www.abovesurveying.com/careers"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://www.abovesurveying.com/careers"",""classification"":""custom_found""}","2026-04-10T23:44:19.699Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"cm-0006","Acecore Systems","acecoretechnologies.com","https://acecoretechnologies.com/",,,,"rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://acecoretechnologies.com/ from domain column.","https://acecoretechnologies.com/careers","https://acecoretechnologies.com/careers/","https://acecoretechnologies.com/careers/","careers_found","custom_found","{""homepageUsed"":""https://acecoretechnologies.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://acecoretechnologies.com/careers"",""status"":200,""finalUrl"":""https://acecoretechnologies.com/careers/"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://acecoretechnologies.com/careers/"",""classification"":""custom_found""}","2026-04-10T23:44:20.872Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"cm-0007","Acecore Technologies","acecoretechnologies.com","https://acecoretechnologies.com/","https://www.linkedin.com/company/acecore-technologies","Hardware","high","ok",,"https://acecoretechnologies.com/careers","https://acecoretechnologies.com/careers/","https://acecoretechnologies.com/careers/","careers_found","custom_found","{""homepageUsed"":""https://acecoretechnologies.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://acecoretechnologies.com/careers"",""status"":200,""finalUrl"":""https://acecoretechnologies.com/careers/"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://acecoretechnologies.com/careers/"",""classification"":""custom_found""}","2026-04-10T23:44:24.740Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"cm-0008","Advexure","advexure.com","https://advexure.com/","https://www.linkedin.com/company/advexure","Training & Services","high","ok",,"https://advexure.com/collections/commercial-enterprise-drones-for-sale","https://advexure.com/collections/commercial-enterprise-drones-for-sale",,"careers_found","custom_found","{""homepageUsed"":""https://advexure.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://advexure.com/careers"",""status"":404,""finalUrl"":""https://advexure.com/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://advexure.com/jobs"",""status"":404,""finalUrl"":""https://advexure.com/jobs"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/careers/jobs"",""candidateUrl"":""https://advexure.com/careers/jobs"",""status"":404,""finalUrl"":""https://advexure.com/careers/jobs"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/join-us"",""candidateUrl"":""https://advexure.com/join-us"",""status"":404,""finalUrl"":""https://advexure.com/join-us"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/work-with-us"",""candidateUrl"":""https://advexure.com/work-with-us"",""status"":404,""finalUrl"":""https://advexure.com/work-with-us"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/company/careers"",""candidateUrl"":""https://advexure.com/company/careers"",""status"":404,""finalUrl"":""https://advexure.com/company/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/about/careers"",""candidateUrl"":""https://advexure.com/about/careers"",""status"":404,""finalUrl"":""https://advexure.com/about/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/opportunities"",""candidateUrl"":""https://advexure.com/opportunities"",""status"":404,""finalUrl"":""https://advexure.com/opportunities"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/hiring"",""candidateUrl"":""https://advexure.com/hiring"",""status"":404,""finalUrl"":""https://advexure.com/hiring"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""(homepage_scan)"",""candidateUrl"":""https://advexure.com/collections/commercial-enterprise-drones-for-sale"",""status"":200,""finalUrl"":""https://advexure.com/collections/commercial-enterprise-drones-for-sale"",""ok"":true,""error"":null,""text"":""FREE Same-Day Shipping on orders $150+ (lower 48 states) 🚚"",""ats"":null}],""homepageScan"":true,""homepageScanHit"":true,""finalUrl"":""https://advexure.com/collections/commercial-enterprise-drones-for-sale"",""classification"":""custom_found""}","2026-04-10T23:44:28.492Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"cm-0009","AEE Aviation Technology","aee.com","https://aee.com/",,,,"rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://aee.com/ from domain column.",,,,"homepage_fetch_failed","fetch_failed","{""homepageUsed"":""https://aee.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://aee.com/careers"",""status"":0,""finalUrl"":""https://aee.com/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://aee.com/jobs"",""status"":0,""finalUrl"":""https://aee.com/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/careers/jobs"",""candidateUrl"":""https://aee.com/careers/jobs"",""status"":0,""finalUrl"":""https://aee.com/careers/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/join-us"",""candidateUrl"":""https://aee.com/join-us"",""status"":0,""finalUrl"":""https://aee.com/join-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/work-with-us"",""candidateUrl"":""https://aee.com/work-with-us"",""status"":0,""finalUrl"":""https://aee.com/work-with-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/company/careers"",""candidateUrl"":""https://aee.com/company/careers"",""status"":0,""finalUrl"":""https://aee.com/company/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/about/careers"",""candidateUrl"":""https://aee.com/about/careers"",""status"":0,""finalUrl"":""https://aee.com/about/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/opportunities"",""candidateUrl"":""https://aee.com/opportunities"",""status"":0,""finalUrl"":""https://aee.com/opportunities"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/hiring"",""candidateUrl"":""https://aee.com/hiring"",""status"":0,""finalUrl"":""https://aee.com/hiring"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://aee.com/"",""classification"":""fetch_failed"",""homepageError"":""fetch failed""}","2026-04-10T23:44:30.833Z","unavailable","none","none","false","gated: resolver_status=homepage_fetch_failed"
"cm-0010","AEE Technology","aee.com","https://www.aee.com/","https://www.linkedin.com/company/aee-technology","Hardware","high","ok",,,,,"homepage_fetch_failed","fetch_failed","{""homepageUsed"":""https://www.aee.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://www.aee.com/careers"",""status"":0,""finalUrl"":""https://www.aee.com/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://www.aee.com/jobs"",""status"":0,""finalUrl"":""https://www.aee.com/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/careers/jobs"",""candidateUrl"":""https://www.aee.com/careers/jobs"",""status"":0,""finalUrl"":""https://www.aee.com/careers/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/join-us"",""candidateUrl"":""https://www.aee.com/join-us"",""status"":0,""finalUrl"":""https://www.aee.com/join-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/work-with-us"",""candidateUrl"":""https://www.aee.com/work-with-us"",""status"":0,""finalUrl"":""https://www.aee.com/work-with-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/company/careers"",""candidateUrl"":""https://www.aee.com/company/careers"",""status"":0,""finalUrl"":""https://www.aee.com/company/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/about/careers"",""candidateUrl"":""https://www.aee.com/about/careers"",""status"":0,""finalUrl"":""https://www.aee.com/about/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/opportunities"",""candidateUrl"":""https://www.aee.com/opportunities"",""status"":0,""finalUrl"":""https://www.aee.com/opportunities"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/hiring"",""candidateUrl"":""https://www.aee.com/hiring"",""status"":0,""finalUrl"":""https://www.aee.com/hiring"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://www.aee.com/"",""classification"":""fetch_failed"",""homepageError"":""fetch failed""}","2026-04-10T23:45:16.784Z","unavailable","none","none","false","gated: resolver_status=homepage_fetch_failed"
