ats,slug,company_name,status,last_checked_at,last_successful_fetch_at,jobs_last_run,jobs_relevant_last_run,jobs_inserted_last_run,jobs_updated_last_run,jobs_irrelevant_last_run,jobs_partial_last_run,jobs_old_last_run,fetch_failed_last_run,yield_last_run,times_seen_empty,times_failed,last_relevant_at,runs_since_last_relevant,consecutive_fetch_failures,manually_disabled,scrape_tier,scrape_every_runs,bucket_last_run,last_error,provider,company,_existingjobsbysourceid
ashby,abridge,Abridge,auto,2026-04-15T13:55:38.412Z,2026-04-15T13:55:38.412Z,61,0,0,0,39,0,22,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Abridge,
ashby,aerovect,Aerovect,auto,2026-04-15T13:55:40.091Z,2026-04-15T13:55:40.091Z,19,3,0,3,14,0,2,false,0.158,0,0,2026-04-15T13:55:40.091Z,0,0,false,medium,1,productive,,ashby,Aerovect,
ashby,aetherflux,Aetherflux,auto,2026-04-15T13:55:41.189Z,2026-04-15T13:55:41.189Z,26,0,0,0,19,0,7,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Aetherflux,
ashby,aim,Aim,auto,2026-04-15T13:55:41.975Z,2026-04-15T13:55:41.975Z,17,0,0,0,17,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Aim,
ashby,airbound,Airbound,auto,2026-04-15T13:55:42.763Z,2026-04-15T13:55:42.763Z,2,2,0,2,0,0,0,false,1.000,0,0,2026-04-15T13:55:42.763Z,0,0,false,high,1,productive,,ashby,Airbound,
ashby,airops,Airops,auto,2026-04-15T13:55:44.556Z,2026-04-15T13:55:44.556Z,29,0,0,0,17,0,12,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Airops,
ashby,alta-ares,Alta Ares,auto,2026-04-15T13:55:44.728Z,,0,0,0,0,0,0,0,true,0.000,0,8,,2,2,false,low,2,fetch_failed,Ashby Alta Ares failed: 404,ashby,Alta Ares,
ashby,altura,Altura,auto,2026-04-15T13:55:45.425Z,2026-04-15T13:55:45.425Z,2,0,0,0,2,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Altura,
ashby,Antares,Antares,auto,2026-04-15T13:55:47.382Z,2026-04-15T13:55:47.382Z,25,0,0,0,11,0,14,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Antares,
ashby,arxlight-ai,Arxlight Ai,auto,2026-04-15T13:55:48.286Z,2026-04-15T13:55:48.286Z,9,3,0,3,6,0,0,false,0.333,0,0,2026-04-15T13:55:48.286Z,0,0,false,medium,1,productive,,ashby,Arxlight Ai,
ashby,atlan,Atlan,auto,2026-04-15T13:55:48.899Z,2026-04-15T13:55:48.899Z,13,0,0,0,8,0,5,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Atlan,
ashby,aureliussystems,Aureliussystems,auto,2026-04-15T13:55:50.118Z,2026-04-15T13:55:50.118Z,7,7,0,7,0,0,0,false,1.000,0,0,2026-04-15T13:55:50.118Z,0,0,false,high,1,productive,,ashby,Aureliussystems,
ashby,backflip.ai,Backflip.Ai,auto,2026-04-15T13:55:50.584Z,2026-04-15T13:55:50.584Z,0,0,0,0,0,0,0,false,0.000,7,0,,2,0,false,dead,999,empty,,ashby,Backflip.Ai,
ashby,bedrock-robotics,Bedrock Robotics,auto,2026-04-15T13:55:51.484Z,2026-04-15T13:55:51.484Z,21,0,0,0,19,0,2,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Bedrock Robotics,
ashby,Blacksmith,Blacksmith,auto,2026-04-15T13:55:52.135Z,2026-04-15T13:55:52.135Z,12,0,0,0,4,0,8,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Blacksmith,
ashby,bliro,Bliro,auto,2026-04-15T13:55:52.390Z,2026-04-15T13:55:52.390Z,8,0,0,0,7,0,1,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Bliro,
ashby,breaker,Breaker,auto,2026-04-15T13:55:53.362Z,2026-04-15T13:55:53.362Z,3,3,0,3,0,0,0,false,1.000,0,0,2026-04-15T13:55:53.362Z,0,0,false,high,1,productive,,ashby,Breaker,
ashby,brinc,Brinc,auto,2026-04-15T13:55:54.471Z,2026-04-15T13:55:54.471Z,22,9,0,9,1,0,12,false,0.409,0,0,2026-04-15T13:55:54.471Z,0,0,false,high,1,productive,,ashby,Brinc,
ashby,built-robotics,Built Robotics,auto,2026-04-15T13:55:54.681Z,2026-04-15T13:55:54.681Z,2,0,0,0,0,0,2,false,0.000,0,0,,2,0,false,low,2,old_only,,ashby,Built Robotics,
ashby,callosum,Callosum,auto,2026-04-15T13:55:55.652Z,2026-04-15T13:55:55.652Z,2,0,0,0,2,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Callosum,
ashby,campfire,Campfire,auto,2026-04-15T13:55:55.925Z,2026-04-15T13:55:55.925Z,21,0,0,0,5,0,16,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Campfire,
ashby,character,Character,auto,2026-04-15T13:55:56.214Z,2026-04-15T13:55:56.214Z,16,0,0,0,4,0,12,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Character,
ashby,charge-robotics,Charge Robotics,auto,2026-04-15T13:55:56.463Z,2026-04-15T13:55:56.463Z,14,0,0,0,7,0,7,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Charge Robotics,
ashby,clasp-group,Clasp Group,auto,2026-04-15T13:55:57.401Z,2026-04-15T13:55:57.401Z,16,0,0,0,16,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Clasp Group,
ashby,close,Close,auto,2026-04-15T13:55:58.031Z,2026-04-15T13:55:58.031Z,9,0,0,0,8,0,1,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Close,
ashby,cobot,Cobot,auto,2026-04-15T13:55:58.926Z,2026-04-15T13:55:58.926Z,14,0,0,0,12,0,2,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Cobot,
ashby,cocodelivery,Cocodelivery,auto,2026-04-15T13:55:59.556Z,2026-04-15T13:55:59.556Z,14,0,0,0,11,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Cocodelivery,
ashby,coderabbit,Coderabbit,auto,2026-04-15T13:56:00.788Z,2026-04-15T13:56:00.788Z,29,0,0,0,19,0,10,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Coderabbit,
ashby,compound-eye,Compound Eye,auto,2026-04-15T13:56:01.508Z,2026-04-15T13:56:01.508Z,3,1,0,1,2,0,0,false,0.333,0,0,2026-04-15T13:56:01.508Z,0,0,false,medium,1,productive,,ashby,Compound Eye,
